type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,basisOfRecord,samplingProtocol,occurrenceID,eventDate,organismQuantity,organismQuantityType,continent,countryCode,stateProvince,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimLatitude,verbatimLongitude,verbatimSRS,scientificName,kingdom,vernacularName
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_111,2016-04-30,,,Europe,BE,East Flanders,51.19184,4.09526,WGS84,30,209130.50750000,130879.96250000,EPSG:31370,Cabomba caroliniana,Plantae,waterwaaier
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_92,2018-04-29,,,Europe,BE,East Flanders,51.26817,4.19077,WGS84,30,217601.80270000,137577.12000000,EPSG:31370,Eichhornia crassipes,Plantae,waterhyacint
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_1633,2021-10-20,,,Europe,BE,East Flanders,51.04407,3.68444,WGS84,30,192876.21080000,102009.92790000,EPSG:31370,Elodea nuttallii,Plantae,smalle waterpest
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_291,2019-09-20,,,Europe,BE,East Flanders,51.01270,3.90839,WGS84,30,189265.80970000,117693.21330000,EPSG:31370,Eriocheir sinensis,Animalia,Chinese wolhandkrab
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_608,2020-02-27,,,Europe,BE,East Flanders,51.00127,3.74328,WGS84,30,188079.44710000,106095.56030000,EPSG:31370,Eriocheir sinensis,Animalia,Chinese wolhandkrab
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_1587,2021-08-05,,,Europe,BE,East Flanders,50.98871,3.87654,WGS84,30,186611.68940000,115440.19180000,EPSG:31370,Eriocheir sinensis,Animalia,Chinese wolhandkrab
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_607,2020-02-27,,,Europe,BE,East Flanders,51.01109,3.92214,WGS84,30,189081.03090000,118656.75990000,EPSG:31370,Gunnera tinctoria,Plantae,gewone gunnera
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_916,2020-06-15,,,Europe,BE,East Flanders,50.84194,3.93846,WGS84,30,170257.71230000,119693.75630000,EPSG:31370,Gunnera tinctoria,Plantae,gewone gunnera
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_979,2020-07-17,,,Europe,BE,East Flanders,51.16889,3.50909,WGS84,30,206889.93280000,89873.38740000,EPSG:31370,Gunnera tinctoria,Plantae,gewone gunnera
Occurrence,en,https://creativecommons.org/licenses/by-nc/4.0/legalcode,POV,http://www.inbo.be/en/norms-for-data-use,"",POV,"Monitoring of invasive alien species by the Provincial Center of Environmental Research, Province East-Flanders, Belgium",HumanObservation,casual observation,Exo_1114,2020-11-06,,,Europe,BE,East Flanders,50.98057,3.79225,WGS84,30,185747.88250000,109515.52730000,EPSG:31370,Gunnera tinctoria,Plantae,gewone gunnera
