ObservationIdentifier,DateOfObservation,DutchName,ScientificName,Kingdom,QuantificationOfInvasion,QuantificationUnit,ValidationStatus,SamplingProtocol,CoordinateUncertainty,XLambert72,YLambert72,ID,ESRI_OID,Shape
Exo_111,2016-04-30T00:00:00,Waterwaaier,Cabomba caroliniana,Plantae,0,m²,approved by experts,casual observation,,130879.96250000,209130.50750000,111,1,POINT (130879.96250000 209130.50750000)
Exo_92,2018-04-29T00:00:00,Waterhyacint,Eichhornia crassipes,Plantae,0,m²,approved by experts,casual observation,,137577.12000000,217601.80270000,92,2,POINT (137577.12000000 217601.80270000)
Exo_1633,2021-10-20T00:00:00,Smalle waterpest,Elodea nuttallii,Plantae,0,m²,approved by experts,casual observation,,102009.92790000,192876.21080000,1633,3,POINT (102009.92790000 192876.21080000)
Exo_291,2019-09-20T00:00:00,Chinese wolhandkrab,Eriocheir sinensis,Animalia,0,Individuals,approved by experts,casual observation,,117693.21330000,189265.80970000,291,4,POINT (117693.21330000 189265.80970000)
Exo_608,2020-02-27T00:00:00,Chinese wolhandkrab,Eriocheir sinensis,Animalia,0,Individuals,approved by experts,casual observation,,106095.56030000,188079.44710000,608,5,POINT (106095.56030000 188079.44710000)
Exo_1587,2021-08-05T00:00:00,Chinese wolhandkrab,Eriocheir sinensis,Animalia,0,Individuals,approved by experts,casual observation,,115440.19180000,186611.68940000,1587,6,POINT (115440.19180000 186611.68940000)
Exo_607,2020-02-27T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,118656.75990000,189081.03090000,607,7,POINT (118656.75990000 189081.03090000)
Exo_916,2020-06-15T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,119693.75630000,170257.71230000,916,8,POINT (119693.75630000 170257.71230000)
Exo_979,2020-07-17T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,89873.38740000,206889.93280000,979,9,POINT (89873.38740000 206889.93280000)
Exo_1114,2020-11-06T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,109515.52730000,185747.88250000,1114,10,POINT (109515.52730000 185747.88250000)
Exo_1431,2021-06-14T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,86196.96960000,182793.52160000,1431,11,POINT (86196.96960000 182793.52160000)
Exo_1640,2021-11-29T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,110164.12350000,192574.96270000,1640,12,POINT (110164.12350000 192574.96270000)
Exo_1771,2022-06-15T00:00:00,Gewone gunnera (reuzenrabarber),Gunnera tinctoria,Plantae,0,m²,approved by experts,casual observation,,109496.10200000,185758.77380000,1771,13,POINT (109496.10200000 185758.77380000)
Exo_36,2018-09-27T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,109777.17800000,172365.10980000,36,14,POINT (109777.17800000 172365.10980000)
Exo_37,2018-09-27T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,109769.29420000,172357.94280000,37,15,POINT (109769.29420000 172357.94280000)
Exo_38,2018-09-27T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,109694.75720000,172318.52410000,38,16,POINT (109694.75720000 172318.52410000)
Exo_39,2018-09-27T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,109682.57320000,172318.52410000,39,17,POINT (109682.57320000 172318.52410000)
Exo_40,2018-09-27T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,109648.52980000,172331.78310000,40,18,POINT (109648.52980000 172331.78310000)
Exo_41,2018-09-27T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,109626.31200000,172337.15840000,41,19,POINT (109626.31200000 172337.15840000)
Exo_2046,2023-06-26T00:00:00,Reuzenberenklauw,Heracleum mantegazzianum,Plantae,0,m²,approved by experts,casual observation,,130843.14480000,202134.73220000,2046,20,POINT (130843.14480000 202134.73220000)
